Employee ID,Name,Position,Department,Date of Birth,Date of Join,Experience Years,Phone Number,Email,Address,Salary,Gender,Marital Status,Nationality,Country,Emergency Contact Name,Emergency Contact Phone,Emergency Contact Relationship,Education Qualifications,Skills,Benefits
E045,alexander robinson,Project Manager,Business,25-Dec-06,1-Jan-22,1,9570-488-8181,alexander.robinson@example.com,"888 Project Ave, Baltimore, MD 12345","$8,000 ",Male,Married,American,USA,Ava Robinson,9007-438-8533,Spouse,B.B.A in Business,"Project Management, PMP","Health Insurance, 401k"
E011,benjamin jackson,Web Developer,Technology,12-Jan-86,1-Jan-22,1,9615-094-2477,benjamin.jackson@example.com,"111 Web Ave, San Francisco, CA 12345","$8,000 ",Male,Single,American,USA,Jennifer Jackson,9569-868-6997,Sister,B.Sc in Computer Science,"Web Development, HTML, CSS","Health Insurance, PTO"
E049,daniel robinson,Web Developer,Technology,2-May-11,1-Apr-22,1,9975-304-2283,daniel.robinson@example.com,"122 Web Ave, Dallas, TX 12345","$8,500 ",Male,Married,American,USA,Ava Robinson,9367-457-2761,Wife,B.E in Computer Science,"Web Development, HTML, CSS, JavaScript","Health Insurance, Bonus"
E021,elijah robinson,Sales Representative,Sales,9-Dec-89,1-Jan-22,1,9754-101-5218,elijah.robinson@example.com,"222 Sales St, Miami, FL 12345","$7,000 ",Male,Single,American,USA,Samantha Robinson,9573-795-3888,Sister,B.B.A in Sales,"Sales, Communication","Health Insurance, Commission"
E046,grace davis,HR Manager,Human Resources,28-Jan-08,1-Apr-22,1,9449-931-1053,grace.davis@example.com,"999 HR Ave, Washington, DC 12345","$9,500 ",Female,Single,American,USA,Grace Davis,9358-152-4290,Mother,B.B.A in Human Resources,"HR Management, Recruitment","Health Insurance, PTO"
E042,harper davis,Financial Analyst,Finance,16-Sep-03,1-Jan-22,1,9926-419-7504,harper.davis@example.com,"555 Finance Ave, San Francisco, CA 12345","$7,000 ",Female,Single,American,USA,Amelia Davis,9259-441-2226,Sister,B.B.A in Finance,"Financial Analysis, Excel","Health Insurance, Bonus"
E018,harper wilson,Human Resources Manager,Human Resources,23-Sep-87,1-Jan-22,1,9181-006-2164,harper.wilson@example.com,"888 HR St, Seattle, WA 12345","$9,000 ",Female,Single,American,USA,Madison Wilson,9463-717-2999,Sister,B.B.A in Human Resources,"Human Resources, Employee Relations","Health Insurance, 401k"
E001,john doe,Manager,Sales,1-Jan-80,1-Jan-22,1,9006-206-6739,john.doe@example.com,"123 Main St, New York, NY 12345","$10,000 ",Male,Married,American,USA,Jane Doe,9764-138-2398,Spouse,MBA,"Sales, Leadership","Health Insurance, 401k"
E031,liam davis,Marketing Executive,Marketing,13-Oct-92,1-Apr-22,1,9203-608-7225,liam.davis@example.com,"333 Marketing Ave, Miami, FL 12345","$7,000 ",Male,Single,American,USA,Harper Davis,9104-881-7014,Sister,B.B.A in Marketing,"Marketing, Communication","Health Insurance, PTO"
E037,mason robinson,Content Writer,Marketing,30-Apr-98,1-Apr-22,1,9633-908-6245,mason.robinson@example.com,"999 Content Ave, New York, NY 12345","$7,500 ",Male,Single,American,USA,Chloe Robinson,9422-799-0646,Sister,B.A in English,"Content Writing, SEO","Health Insurance, Bonus"
E016,mia robinson,Receptionist,Operations,11-Jul-91,1-Apr-22,1,9782-070-6700,mia.robinson@example.com,"666 Reception St, Atlanta, GA 12345","$6,000 ",Female,Single,American,USA,Jessica Robinson,9321-345-7411,Sister,High School Diploma,"Reception, Communication","Health Insurance, PTO"
E028,mia wilson,Sales Manager,Sales,4-Jul-89,1-Apr-22,1,9653-606-5444,mia.wilson@example.com,"999 Sales St, Philadelphia, PA 12345","$9,500 ",Female,Single,American,USA,Emma Wilson,9315-219-5503,Sister,B.B.A in Sales,"Sales, Customer Service","Health Insurance, Bonus"
E005,michael brown,Marketing Manager,Marketing,20-Jul-82,1-Apr-22,1,9999-233-5516,michael.brown@example.com,"333 Market St, Chicago, IL 12345","$10,500 ",Male,Single,Indian,India,Sarah Johnson,9293-629-2542,Sister,MBA,"Marketing, Brand Management","Health Insurance, Bonus"
E043,michael martinez,Network Engineer,Technology,19-Oct-04,1-Apr-22,1,9126-344-5945,michael.martinez@example.com,"666 Network Ave, Austin, TX 12345","$9,000 ",Male,Single,Mexican,Mexico,Sofia Martinez,9852-004-3331,Sister,B.E in Computer Science,"Network Engineering, CCNA","Health Insurance, PTO"
E019,noah davis,Accountant,Finance,5-Oct-86,1-Apr-22,1,9907-438-7535,noah.davis@example.com,"999 Accounting Ave, Denver, CO 12345","$8,500 ",Male,Married,American,USA,Ava Davis,9996-863-5915,Spouse,B.Com in Accounting,"Accounting, Taxation","Health Insurance, Bonus"
E022,robert wilson,Content Writer,Marketing,14-Jan-91,1-Apr-22,1,9627-612-5815,charlotte.wilson@example.com,"333 Content Ave, Boston, MA 12345","$6,500 ",Female,Single,Indian,India,Olivia Wilson,9802-704-1462,Sister,B.A in English,"Content Writing, SEO","Health Insurance, PTO"
E036,scarlett wilson,Software Engineer,Technology,28-Mar-97,1-Jan-22,1,9542-414-8923,scarlett.wilson@example.com,"888 Software Ave, Chicago, IL 12345","$9,000 ",Female,Single,American,USA,Emma Wilson,9346-049-7856,Sister,B.E in Computer Science,"Software Development, Java","Health Insurance, PTO"
